200 18000
40 60 3
172 138 4
92 157 5
155 189 6
126 34 7
25 187 8
196 31 9
85 17 10
24 192 1
127 13 2
51 149 3
188 138 4
197 20 5
99 169 6
104 12 7
143 183 8
23 154 9
81 131 10
197 187 1
72 122 2
96 20 3
50 108 4
76 91 5
34 86 6
99 100 7
112 102 8
2 199 9
41 195 10
21 139 1
115 124 2
98 103 3
77 19 4
3 51 5
8 152 6
37 79 7
56 25 8
133 174 9
58 17 10
143 160 1
2 11 2
114 193 3
112 191 4
105 115 5
87 138 6
43 52 7
97 162 8
101 180 9
126 56 10
133 30 1
18 7 2
163 31 3
74 136 4
83 115 5
104 75 6
106 25 7
85 170 8
19 149 9
85 112 10
53 49 1
123 47 2
53 84 3
96 105 4
21 16 5
197 160 6
105 118 7
15 67 8
88 149 9
15 2 10
58 122 1
41 98 2
78 163 3
133 67 4
131 26 5
30 169 6
179 91 7
28 183 8
123 174 9
189 88 10
47 95 1
186 199 2
152 165 3
39 19 4
112 79 5
76 120 6
9 190 7
197 28 8
174 122 9
158 42 10
3 136 1
132 182 2
57 119 3
105 158 4
199 198 5
135 4 6
150 120 7
14 86 8
76 184 9
15 32 10
59 187 1
86 195 2
82 48 3
121 22 4
179 7 5
161 162 6
93 67 7
142 137 8
150 198 9
94 99 10
49 149 1
33 98 2
118 169 3
104 111 4
193 95 5
179 70 6
155 153 7
125 1 8
188 147 9
121 194 10
35 77 1
154 95 2
79 48 3
28 31 4
45 76 5
78 193 6
125 110 7
45 90 8
27 153 9
19 100 10
47 170 1
197 151 2
74 76 3
103 64 4
24 20 5
57 48 6
10 163 7
143 88 8
125 10 9
68 54 10
145 153 1
77 199 2
55 88 3
81 73 4
172 192 5
52 190 6
93 200 7
141 169 8
43 73 9
44 32 10
18 40 1
92 27 2
154 186 3
115 163 4
134 110 5
62 169 6
78 119 7
90 132 8
114 158 9
150 165 10
16 38 1
139 130 2
15 79 3
50 88 4
74 33 5
131 91 6
25 174 7
70 178 8
159 136 9
93 21 10
69 13 1
146 34 2
76 131 3
88 30 4
189 194 5
37 26 6
161 128 7
175 156 8
158 157 9
14 31 10
97 190 1
14 74 2
143 70 3
191 181 4
35 78 5
146 1 6
34 47 7
43 177 8
109 72 9
50 65 10
53 17 1
177 75 2
104 90 3
117 139 4
72 128 5
145 13 6
141 35 7
39 83 8
15 116 9
15 118 10
164 13 1
8 200 2
93 61 3
31 157 4
110 48 5
161 136 6
93 176 7
79 118 8
134 56 9
5 148 10
135 160 1
75 150 2
146 140 3
109 160 4
56 26 5
126 20 6
78 142 7
179 34 8
10 90 9
142 151 10
102 9 1
86 184 2
146 3 3
58 162 4
36 192 5
73 137 6
18 19 7
76 127 8
83 130 9
8 104 10
197 103 1
85 33 2
126 30 3
171 42 4
50 76 5
161 25 6
186 122 7
200 164 8
173 153 9
188 113 10
185 117 1
86 124 2
155 199 3
37 164 4
82 20 5
44 136 6
16 80 7
168 46 8
5 162 9
32 168 10
144 163 1
148 192 2
66 107 3
170 99 4
163 32 5
157 100 6
32 100 7
185 54 8
182 101 9
15 90 10
85 120 1
87 150 2
116 70 3
72 132 4
52 31 5
