20 172
4 8 1
4 19 2
4 16 1
4 7 2
4 1 3
4 3 2
4 9 1
4 15 2
4 18 3
4 14 3
4 10 2
4 6 3
4 20 3
4 17 2
4 11 3
4 5 3
4 13 3
8 19 2
8 16 1
8 7 2
8 1 1
8 3 1
8 9 1
8 15 1
8 14 3
8 6 2
8 20 3
8 12 3
8 11 3
8 5 1
8 2 3
19 16 2
19 7 1
19 3 3
19 9 1
19 15 1
19 18 2
19 14 3
19 10 3
19 6 1
19 12 1
19 17 2
19 11 3
19 5 1
19 13 3
19 2 2
16 7 2
16 1 2
16 3 1
16 9 1
16 15 3
16 18 3
16 14 2
16 10 1
16 6 3
16 20 2
16 12 1
16 17 2
16 11 2
16 5 1
16 13 2
16 2 3
7 1 1
7 3 2
7 9 3
7 15 2
7 14 3
7 10 3
7 6 1
7 20 2
7 12 3
7 17 3
7 11 1
7 5 2
7 13 2
7 2 2
1 3 2
1 9 2
1 15 2
1 18 1
1 14 1
1 10 2
1 6 1
1 20 2
1 17 1
1 11 1
1 5 3
1 13 2
1 2 1
3 9 3
3 15 2
3 18 3
3 14 3
3 6 1
3 20 2
3 12 1
3 17 3
3 11 3
3 5 1
3 13 1
3 2 3
9 15 3
9 18 2
9 14 3
9 10 1
9 6 1
9 20 3
9 12 2
9 17 1
9 11 2
9 5 3
9 13 1
9 2 3
15 18 3
15 14 2
15 10 2
15 6 2
15 20 3
15 12 2
15 17 2
15 11 2
15 5 2
15 13 3
18 14 3
18 10 3
18 6 2
18 20 1
18 12 3
18 17 3
18 11 3
18 5 3
18 13 3
18 2 3
14 10 3
14 6 3
14 20 2
14 17 2
14 11 2
14 5 1
14 13 2
10 12 2
10 17 3
10 11 2
10 13 2
10 2 3
6 20 1
6 12 3
6 17 1
6 11 3
6 5 3
6 13 3
6 2 3
20 12 2
20 17 3
20 11 1
20 5 1
20 13 3
20 2 3
12 17 1
12 11 3
12 5 2
12 13 2
12 2 1
17 11 1
17 5 3
17 13 1
17 2 3
11 5 1
11 13 1
11 2 3
5 13 3
5 2 3
4 2
2

Output:
Part a:
6

Part b:
4 8 19 16 7 1 3 9 15 18 14 10 6 20 12 17 11 5 13 2 
4 8 19 16 7 1 3 9 15 18 14 10 6 20 12 17 11 5 2 13 
4 8 19 16 7 1 3 9 15 18 14 6 10 20 12 17 11 5 13 2 
4 8 19 16 7 1 3 9 15 18 14 6 10 20 12 17 11 5 2 13 
4 8 19 16 7 1 3 9 15 18 14 6 20 10 12 17 11 5 13 2 
4 8 19 16 7 1 3 9 15 18 14 6 20 10 12 17 11 5 2 13 
6

Part c:
2

Part d:
4 8 1 2 
4 16 12 2 
2

Part e:
4

